date,tx_pos,tx_incid,TO,rea,hosp,rad,dchosp,incid_rea,incid_hosp,incid_rad,incid_dchosp,conf,conf_j1,pos,pos_7j
2020-03-18,1.8932147689999999,17.117386860000003,0.152431791,771.0,2972.0,816.0,218.00000000000003,326.0,1674.9999999999998,401,117,9134.0,14996,1203,11488
2020-03-19,10.822692256666665,243.48706773333333,0.22182680899999999,1001.9999999999999,4073.0,1180.0,327.0,438.0,2229.0,519,155,10995.0,17125,35299,163416
2020-03-20,7.893360892000001,147.76528950000002,0.256425465,1297.0,5226.0,1587.0,449.99999999999994,242.0,1256.0,317,83,12612.0,9141,22931,99172
2020-03-21,10.532885213333333,229.60343413333334,0.30150257,1453.0,5900.0,1811.0,525.0,298.0,1540.0,368,115,14459.0,15247,32448,154098
2020-03-22,10.799278143333332,243.78705036666665,0.34519573000000003,1674.0,6954.0,2117.0,631.9999999999999,309.0,1534.0,315,123,16686.0,9524,36866,163617
2020-03-23,12.117115706666667,305.1498898666667,0.411229735,2080.0,8673.0,2567.0,860.0000000000001,448.0,2053.0,377,189,19856.0,6656,45466,204801
2020-03-24,13.87180253,380.35414690000005,0.494859628,2503.0,10163.0,3281.0,1100.0,571.0,2618.0,742,244,22302.0,10691,56161,255274
2020-03-25,15.640640580000001,467.38834840000004,0.580268881,2935.0,12072.0,4085.0,1388.0,607.0,3165.9999999999995,834,293,25233.000000000004,13601,62400,313687
2020-03-26,15.640640580000001,467.38834840000004,0.662514828,3351.0,13879.0,4947.0,1696.0,612.0,3097.0,888,318,29155.0,20727,62400,313687
2020-03-27,15.623120976666668,471.4843034333333,0.7429814159999999,3758.0,15701.0,5698.0,1995.0,608.0,3059.0,814,307,32964.0,20064,62949,316436
2020-03-28,15.760971723333334,490.20888203333334,0.837485172,4236.0,17580.0,6624.0,2314.0,695.0,3353.0,969,326,37575.0,22124,63400,329003
2020-03-29,15.628419513333334,481.68371316666673,0.907868723,4592.0,19311.0,7131.0,2606.0,543.0,2685.0,543,295,40174.0,23268,65808,323282
2020-03-30,14.93080109,467.7792198,0.999604587,5056.0,20946.0,7923.0,3024.0,694.0,3108.0,861,423,44550.0,22124,58952,313950
2020-03-31,14.809245496666664,463.1990213,1.086595492,5496.0,22672.000000000004,9443.0,3523.0000000000005,767.0,4146.0,1589,526,52128.0,34162,52293,310876
2020-04-01,14.531565353333331,452.43093589999995,1.174377224,5940.0,24543.0,10934.0,4032.0,771.0,4281.0,1647,516,56989.0,34162,48885,303649
2020-04-02,13.822897093333333,421.15128916666674,1.246540134,6305.0,26131.0,12427.0,4503.0,728.0,3845.0,1577,524,59105.00000000001,34162,45066,282655
2020-04-03,12.384404600000002,347.1002766666667,1.296164492,6556.0,27302.0,14007.0,5091.0,640.0,3627.0,1655,606,64338.00000000001,22124,38000,232956
2020-04-04,12.392921479999998,332.86749106666673,1.3291814950000003,6722.999999999999,28003.0,15436.999999999998,5532.0,502.0,2822.0,1495,448,68605.0,22124,29854,223404
2020-04-05,12.18734684,326.58275546666664,1.356069593,6858.999999999999,28747.0,16182.0,5889.0,389.99999999999994,1931.0,773,361,70478.0,23268,14540,219186
2020-04-06,11.753175390000003,306.8449904333333,1.37366548,6948.0,29569.0,17249.0,6494.0,478.0,2754.0,1133,613,74390.0,22124,38179,205939
2020-04-07,11.136963280666667,280.3342730666666,1.38473705,7004.0,29871.000000000004,19336.0,7091.0,518.0,3277.0,2161,607,78167.0,32566,29389,188146
2020-04-08,11.136963280666667,280.3342730666666,1.3877026490000002,7019.000000000001,30217.0,21253.0,7632.0,482.0,3139.0,2022,562,82048.0,32566,29389,188146
2020-04-09,11.934129816666669,314.1096362666667,1.371490708,6937.0,30608.0,23205.0,8044.0,369.0,2990.0,2032,424,86334.0,33803,23911,210814
2020-04-10,11.136963280666667,280.3342730666666,1.359232898,6875.0,31107.999999999996,24931.0,8598.0,431.0,3161.0,1967,578,90676.0,32566,29389,188146
2020-04-11,11.509869570000001,283.2705269333334,1.334914986,6752.0,31159.000000000004,26390.0,8943.0,255.0,2044.0,1527,353,93790.0,29383,17638,190116
2020-04-12,12.18734684,326.58275546666664,1.327402135,6714.0,31665.0,27185.0,9253.0,220.0,1688.0,825,315,95403.0,23268,14540,219186
2020-04-13,11.031780238333331,285.5641028333333,1.3226571769999997,6690.0,31952.000000000004,27717.0,9588.0,227.0,1257.0,551,343,98076.0,16596,2974,191656
2020-04-14,11.753175390000003,306.84499043333335,1.304665876,6599.0,32131.0,28804.0,10129.0,275.0,1965.0,1125,559,103573.0,15676,38180,205939
2020-04-15,10.109010392999998,230.29081156666666,1.251680506,6331.0,31623.0,30952.0,10643.0,284.0,2415.0,2224,524,106206.0,32566,22704,154559
2020-04-16,10.626938274666667,250.840119,1.213720838,6139.0,31172.000000000004,32806.0,11053.0,270.0,2084.0,1925,435,108847.0,25375,11075,168351
2020-04-17,11.509869570000001,283.2705269333333,1.170818505,5922.0,31061.0,34414.0,11470.0,242.0,2166.0,1720,428,109252.0,29383,17638,190117
2020-04-18,9.138029783999999,198.79809766666668,1.133451957,5733.0,30515.000000000004,35977.0,11834.0,205.99999999999997,1565.0,1605,368,111821.00000000001,24285,11506,133423
